id,category,english,amharic,amharicTranslit,afaanOromo,oromoPronunciation,context,exampleEn,difficulty,tags,reviewStatus
ethio-0495,Transport & Directions,motorcycle,ሞተር ሳይክል,motor saykil,mootora saayikilii,mootora saayikilii,transport and traffic,Use 'motorcycle' in transport and traffic.,beginner,transport-directions|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0496,Transport & Directions,truck,ጭነት መኪና,chinet makina,konkolaataa feʼumsaa,konkolaataa feumsaa,transport and logistics,Use 'truck' in transport and logistics.,beginner,transport-directions|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0497,Transport & Directions,train,ባቡር,babur,baabura,baabura,transport and travel,Use 'train' in transport and travel.,beginner,transport-directions|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0498,Transport & Directions,airplane,አውሮፕላን,awroplan,xiyyaara,xiyyaara,travel and airport,Use 'airplane' in travel and airport.,beginner,transport-directions|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0499,Transport & Directions,driver,አሽከርካሪ,ashkerkari,konkolaachisaa,konkolaachisaa,"taxi, bus, and transport","Use 'driver' in taxi, bus, and transport.",beginner,transport-directions|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0500,Transport & Directions,passenger,ተሳፋሪ,tesafari,imalaa,imalaa,transport and travel,Use 'passenger' in transport and travel.,beginner,transport-directions|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0501,Transport & Directions,seat,መቀመጫ,meqemecha,teessoo,teessoo,"bus, taxi, train, and airplane","Use 'seat' in bus, taxi, train, and airplane.",beginner,transport-directions|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0502,Transport & Directions,fare,የጉዞ ክፍያ,ye-guzo kifiya,kaffaltii imalaa,kaffaltii imalaa,transport payments,Use 'fare' in transport payments.,beginner,transport-directions|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0503,Transport & Directions,route,መንገድ,menged,karaa,karaa,transport and directions,Use 'route' in transport and directions.,beginner,transport-directions|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0504,Transport & Directions,shortcut,አጭር መንገድ,achir menged,karaa gabaabaa,karaa gabaabaa,directions and local navigation,Use 'shortcut' in directions and local navigation.,beginner,transport-directions|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0505,Transport & Directions,traffic light,የትራፊክ መብራት,ye-trafik mebrat,ibsaa tiraafikaa,ibsaa tiraafikaa,road safety and directions,Use 'traffic light' in road safety and directions.,beginner,transport-directions|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0506,Transport & Directions,crosswalk,የእግረኛ መሻገሪያ,ye-igregna meshageriya,ceʼumsa miilaa,ceumsa miilaa,road safety and walking,Use 'crosswalk' in road safety and walking.,intermediate,transport-directions|intermediate|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0507,Transport & Directions,sidewalk,የእግረኛ መንገድ,ye-igregna menged,karaa miilaa,karaa miilaa,walking and city navigation,Use 'sidewalk' in walking and city navigation.,intermediate,transport-directions|intermediate|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0508,Transport & Directions,parking,መኪና ማቆሚያ,makina maqomiya,paarkii konkolaataa,paarkii konkolaataa,car parking and directions,Use 'parking' in car parking and directions.,beginner,transport-directions|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0509,Transport & Directions,fuel,ነዳጅ,nedaj,bobaʼaa,bobaa,cars and transport,Use 'fuel' in cars and transport.,beginner,transport-directions|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0510,Transport & Directions,gas station,የነዳጅ ማደያ,ye-nedaj madeya,buufata bobaʼaa,buufata bobaa,driving and travel,Use 'gas station' in driving and travel.,beginner,transport-directions|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0511,Transport & Directions,license,ፈቃድ,fekad,hayyama,hayyama,"driving, business, and permission","Use 'license' in driving, business, and permission.",intermediate,transport-directions|intermediate|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0512,Transport & Directions,road closed,መንገድ ተዘግቷል,menged tezegtual,karaan cufameera,karaan cufameera,traffic and directions,Use 'road closed' in traffic and directions.,beginner,transport-directions|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0513,Transport & Directions,turn left,ወደ ግራ ይታጠፉ,wede gira yitattefu,gara bitaatti garagali,gara bitaatti garagali,directions and taxi instructions,Use 'turn left' in directions and taxi instructions.,beginner,transport-directions|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0514,Transport & Directions,turn right,ወደ ቀኝ ይታጠፉ,wede qeny yitattefu,gara mirgaatti garagali,gara mirgaatti garagali,directions and taxi instructions,Use 'turn right' in directions and taxi instructions.,beginner,transport-directions|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0515,Transport & Directions,go straight,ቀጥ ይበሉ,qet yibelu,qajeelatti deemi,qajeelatti deemi,directions and taxi instructions,Use 'go straight' in directions and taxi instructions.,beginner,transport-directions|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0516,Transport & Directions,slow down,በቀስታ ይሂዱ,beqesta yihidu,suuta deemi,suuta deemi,taxi and driving requests,Use 'slow down' in taxi and driving requests.,beginner,transport-directions|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0517,Transport & Directions,wait here,እዚህ ይጠብቁ,ezih yitebiku,asitti eegi,asitti eegi,"taxi, hotel, and meeting situations","Use 'wait here' in taxi, hotel, and meeting situations.",beginner,transport-directions|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0518,Transport & Directions,take me to,ወደ ... ውሰዱኝ,wede ... wuseduñ,gara ... na geessi,gara ... na geessi,taxi and directions phrase,Use 'take me to' in taxi and directions phrase.,beginner,transport-directions|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0519,Transport & Directions,drop me here,እዚህ አውርዱኝ,ezih awriduñ,asitti na buusi,asitti na buusi,taxi and transport phrase,Use 'drop me here' in taxi and transport phrase.,beginner,transport-directions|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0520,Transport & Directions,how long will it take,ምን ያህል ጊዜ ይወስዳል,min yahl gize yiwesdal,yeroo hammam fudhata,yeroo hammam fudhata,travel timing and directions,Use 'how long will it take' in travel timing and directions.,intermediate,transport-directions|intermediate|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0521,Transport & Directions,is it far,ሩቅ ነው,ruq new,fagoo dhaa,fagoo dhaa,asking about distance,Use 'is it far' in asking about distance.,beginner,transport-directions|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0522,Transport & Directions,is it near,ቅርብ ነው,qirb new,dhiyoo dhaa,dhiyoo dhaa,asking about distance,Use 'is it near' in asking about distance.,beginner,transport-directions|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0523,People & Family,parent,ወላጅ,welaj,warra,warra,family and school communication,Use 'parent' in family and school communication.,beginner,people-family|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0524,People & Family,grandmother,አያት,ayat,akkoo,akkoo,family relations,Use 'grandmother' in family relations.,beginner,people-family|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0525,People & Family,grandfather,አያት,ayat,akaakayyuu,akaakayyuu,family relations,Use 'grandfather' in family relations.,beginner,people-family|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0526,People & Family,uncle,አጎት,agot,eessuma,eessuma,family relations,Use 'uncle' in family relations.,beginner,people-family|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0527,People & Family,aunt,አክስት,akist,adaadaa,adaadaa,family relations,Use 'aunt' in family relations.,beginner,people-family|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0528,People & Family,cousin,የአክስት ወይም የአጎት ልጅ,ye-akist weyim ye-agot lij,obboleessa firaa,obboleessa firaa,family relations,Use 'cousin' in family relations.,intermediate,people-family|intermediate|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0529,People & Family,husband,ባል,bal,abbaa manaa,abbaa manaa,family and relationship,Use 'husband' in family and relationship.,beginner,people-family|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0530,People & Family,wife,ሚስት,mist,haadha manaa,haadha manaa,family and relationship,Use 'wife' in family and relationship.,beginner,people-family|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0531,People & Family,son,ወንድ ልጅ,wend lij,ilma,ilma,family relations,Use 'son' in family relations.,beginner,people-family|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0532,People & Family,daughter,ሴት ልጅ,set lij,intala,intala,family relations,Use 'daughter' in family relations.,beginner,people-family|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0533,People & Family,neighbor,ጎረቤት,gorebet,ollaa,ollaa,home and community,Use 'neighbor' in home and community.,beginner,people-family|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0534,People & Family,community,ማህበረሰብ,mahbereseb,hawaasa,hawaasa,social and community contexts,Use 'community' in social and community contexts.,intermediate,people-family|intermediate|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0535,People & Family,visitor,ጎብኚ,gobign,daawwataa,daawwataa,"home, tourism, and business","Use 'visitor' in home, tourism, and business.",beginner,people-family|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0536,People & Family,foreigner,የውጭ ሰው,ye-wuch sew,nama biyya alaa,nama biyya alaa,tourism and identity,Use 'foreigner' in tourism and identity.,beginner,people-family|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0537,People & Family,local person,የአካባቢ ሰው,ye-akababi sew,nama naannoo,nama naannoo,tourism and community,Use 'local person' in tourism and community.,beginner,people-family|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0538,People & Family,adult,አዋቂ,awaqi,nama guddaa,nama guddaa,age and people descriptions,Use 'adult' in age and people descriptions.,beginner,people-family|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0539,People & Family,youth,ወጣት,wetat,dargaggeessa,dargaggeessa,people descriptions and community,Use 'youth' in people descriptions and community.,beginner,people-family|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0540,People & Family,girl,ሴት ልጅ,set lij,intala,intala,people and family,Use 'girl' in people and family.,beginner,people-family|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0541,People & Family,boy,ወንድ ልጅ,wend lij,ijoollee dhiiraa,ijoollee dhiiraa,people and family,Use 'boy' in people and family.,beginner,people-family|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0542,People & Family,name,ስም,sim,maqaa,maqaa,introductions and forms,Use 'name' in introductions and forms.,beginner,people-family|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0543,People & Family,age,ዕድሜ,idme,umurii,umurii,introductions and forms,Use 'age' in introductions and forms.,beginner,people-family|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0544,People & Family,phone number,ስልክ ቁጥር,silk qutir,lakkoofsa bilbilaa,lakkoofsa bilbilaa,contact and forms,Use 'phone number' in contact and forms.,beginner,people-family|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0545,People & Family,email,ኢሜይል,email,imeelii,imeelii,contact and digital communication,Use 'email' in contact and digital communication.,beginner,people-family|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0546,People & Family,job,ስራ,sira,hojii,hojii,work and introductions,Use 'job' in work and introductions.,beginner,people-family|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0547,People & Family,manager,አስተዳዳሪ,astedadari,bulchaa,bulchaa,work and service context,Use 'manager' in work and service context.,intermediate,people-family|intermediate|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0548,People & Family,employee,ሰራተኛ,serategna,hojjataa,hojjataa,work and business,Use 'employee' in work and business.,beginner,people-family|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0549,People & Family,owner,ባለቤት,balebet,abbaa qabeenyaa,abbaa qabeenyaa,"shops, business, and property","Use 'owner' in shops, business, and property.",intermediate,people-family|intermediate|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0550,People & Family,farmer,ገበሬ,gebere,qotee bulaa,qotee bulaa,agriculture and rural life,Use 'farmer' in agriculture and rural life.,beginner,people-family|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0551,People & Family,merchant,ነጋዴ,negade,daldalaa,daldalaa,market and business,Use 'merchant' in market and business.,beginner,people-family|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0552,People & Family,translator person,ተርጓሚ,tergwami,hiikaa,hiikaa,language services,Use 'translator person' in language services.,beginner,people-family|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0553,People & Family,speaker,ተናጋሪ,tenagari,dubbataa,dubbataa,language and communication,Use 'speaker' in language and communication.,beginner,people-family|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0554,People & Family,listener,አድማጭ,admagch,dhaggeeffataa,dhaggeeffataa,language and communication,Use 'listener' in language and communication.,intermediate,people-family|intermediate|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0555,Technology,website,ድህረ ገጽ,dihre gets,marsariitii,marsariitii,digital services and browsing,Use 'website' in digital services and browsing.,intermediate,technology|intermediate|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0556,Technology,logout,መውጣት,mewtat,baʼuu,bauu,account access and apps,Use 'logout' in account access and apps.,beginner,technology|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0557,Technology,username,የተጠቃሚ ስም,ye-tetekami sim,maqaa fayyadamaa,maqaa fayyadamaa,account and forms,Use 'username' in account and forms.,intermediate,technology|intermediate|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0558,Technology,notification,ማሳወቂያ,masawoqiya,beeksisa,beeksisa,app alerts and messages,Use 'notification' in app alerts and messages.,beginner,technology|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0559,Technology,message,መልዕክት,melikt,ergaa,ergaa,communication and apps,Use 'message' in communication and apps.,beginner,technology|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0560,Technology,copy,መቅዳት,meqdat,garagalchuu,garagalchuu,app actions and text editing,Use 'copy' in app actions and text editing.,beginner,technology|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0561,Technology,paste,መለጠፍ,meletef,maxxansuu,maxxansuu,app actions and text editing,Use 'paste' in app actions and text editing.,beginner,technology|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0562,Technology,delete,መሰረዝ,meserez,haquu,haquu,app actions and editing,Use 'delete' in app actions and editing.,beginner,technology|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0563,Technology,edit,ማስተካከል,mastekakel,sirreessuu,sirreessuu,correcting text and OCR,Use 'edit' in correcting text and OCR.,beginner,technology|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0564,Technology,filter,ማጣራት,matarat,calaluu,calaluu,category filters and lists,Use 'filter' in category filters and lists.,intermediate,technology|intermediate|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0565,Technology,setting,ቅንብር,qinbir,qindaaʼina,qindaaina,app preferences,Use 'setting' in app preferences.,beginner,technology|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0566,Technology,profile,መገለጫ,megelecha,piroofaayilii,piroofaayilii,user accounts and identity,Use 'profile' in user accounts and identity.,beginner,technology|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0567,Technology,online,በመስመር ላይ,be-mesmer lay,sarara irra,sarara irra,internet-connected use,Use 'online' in internet-connected use.,intermediate,technology|intermediate|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0568,Technology,loading,በመጫን ላይ,be-mechan lay,feʼamaa jira,feamaa jira,app loading state,Use 'loading' in app loading state.,beginner,technology|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0569,Technology,error,ስህተት,sihtet,dogoggora,dogoggora,app error and correction,Use 'error' in app error and correction.,beginner,technology|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0570,Technology,success,ተሳክቷል,tesaktual,milkaaʼeera,milkaaʼeera,confirmation after app actions,Use 'success' in confirmation after app actions.,beginner,technology|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0571,Technology,try again,እንደገና ይሞክሩ,endegena yimokiru,irra deebiʼii yaali,irra deebii yaali,app error recovery,Use 'try again' in app error recovery.,beginner,technology|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0572,Technology,submit,ማስገባት,masgebat,galchuu,galchuu,forms and app actions,Use 'submit' in forms and app actions.,beginner,technology|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0573,Technology,confirm,ማረጋገጥ,maregageṭ,mirkaneessuu,mirkaneessuu,app actions and verification,Use 'confirm' in app actions and verification.,intermediate,technology|intermediate|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0574,Technology,cancel,መሰረዝ,meserez,haquu,haquu,forms and actions,Use 'cancel' in forms and actions.,beginner,technology|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0575,Technology,next,ቀጣይ,qetay,itti aanu,itti aanu,navigation and onboarding,Use 'next' in navigation and onboarding.,beginner,technology|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0576,Technology,back,ተመለስ,temeles,deebiʼi,deebii,navigation and app actions,Use 'back' in navigation and app actions.,beginner,technology|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0577,Technology,finish,ጨርስ,chers,xumuri,xumuri,onboarding and app actions,Use 'finish' in onboarding and app actions.,beginner,technology|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0578,Technology,start,ጀምር,jemir,jalqabi,jalqabi,learning and app actions,Use 'start' in learning and app actions.,beginner,technology|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0579,Technology,review,መከለስ,mekeles,keessa deebiʼuu,keessa deebiuu,flashcards and practice,Use 'review' in flashcards and practice.,beginner,technology|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0580,Technology,progress,እድገት,idiget,guddina,guddina,learning progress,Use 'progress' in learning progress.,beginner,technology|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0581,Time & Calendar,birthday,የልደት ቀን,ye-lidet qen,guyyaa dhalootaa,guyyaa dhalootaa,family and celebrations,Use 'birthday' in family and celebrations.,beginner,time-calendar|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0582,Time & Calendar,appointment time,የቀጠሮ ሰዓት,ye-qetero seat,yeroo beellamaa,yeroo beellamaa,"doctor, office, and service visits","Use 'appointment time' in doctor, office, and service visits.",beginner,time-calendar|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0583,Time & Calendar,soon,በቅርቡ,beqirbu,dhiyootti,dhiyootti,plans and messages,Use 'soon' in plans and messages.,beginner,time-calendar|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0584,Time & Calendar,later,በኋላ,behuala,booda,booda,plans and messages,Use 'later' in plans and messages.,beginner,time-calendar|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0585,Time & Calendar,before,በፊት,befit,dura,dura,time and sequence,Use 'before' in time and sequence.,beginner,time-calendar|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0586,Time & Calendar,after,በኋላ,behuala,booda,booda,time and sequence,Use 'after' in time and sequence.,beginner,time-calendar|beginner|ethio-lang-batch-2,batch_2_ai_generated_needs_native_speaker_review
ethio-0587,Useful Phrases,I want reservation,ቦታ ማስያዣ እፈልጋለሁ,bota masiyaja ifeligalehu,qabannoo nan barbaada,qabannoo nan barbaada,requesting reservation; hotel booking and travel planning,Use 'I want reservation' in requesting reservation; hotel booking and travel planning.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|request,batch_2_ai_generated_needs_native_speaker_review
ethio-0588,Useful Phrases,I need reservation,ቦታ ማስያዣ ያስፈልገኛል,bota masiyaja yasfelgeñal,qabannoo na barbaachisa,qabannoo na barbaachisa,explaining that reservation is needed; hotel booking and travel planning,Use 'I need reservation' in explaining that reservation is needed; hotel booking and travel planning.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|need,batch_2_ai_generated_needs_native_speaker_review
ethio-0589,Useful Phrases,where is the reservation,ቦታ ማስያዣ የት ነው,bota masiyaja yet new,qabannoo eessa jira,qabannoo eessa jira,asking location of reservation; hotel booking and travel planning,Use 'where is the reservation' in asking location of reservation; hotel booking and travel planning.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|location,batch_2_ai_generated_needs_native_speaker_review
ethio-0590,Useful Phrases,how much is the reservation,ቦታ ማስያዣ ስንት ነው,bota masiyaja sint new,qabannoo meeqa,qabannoo meeqa,asking price or cost of reservation; hotel booking and travel planning,Use 'how much is the reservation' in asking price or cost of reservation; hotel booking and travel planning.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|market,batch_2_ai_generated_needs_native_speaker_review
ethio-0591,Useful Phrases,please give me reservation,ቦታ ማስያዣ እባክዎ ይስጡኝ,bota masiyaja ibakwo yistugn,qabannoo maaloo naaf kenni,qabannoo maaloo naaf kenni,polite request for reservation; hotel booking and travel planning,Use 'please give me reservation' in polite request for reservation; hotel booking and travel planning.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|polite,batch_2_ai_generated_needs_native_speaker_review
ethio-0592,Useful Phrases,the reservation is not working,ቦታ ማስያዣ አይሰራም,bota masiyaja ayiseram,qabannoo hin hojjetu,qabannoo hin hojjetu,reporting a problem with reservation; hotel booking and travel planning,Use 'the reservation is not working' in reporting a problem with reservation; hotel booking and travel planning.,beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|problem,batch_2_ai_generated_needs_native_speaker_review
ethio-0593,Useful Phrases,I want booking,ቦታ ማስያዝ እፈልጋለሁ,bota masiyaz ifeligalehu,qabachuu nan barbaada,qabachuu nan barbaada,"requesting booking; booking rooms, tours, or services","Use 'I want booking' in requesting booking; booking rooms, tours, or services.",beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|request,batch_2_ai_generated_needs_native_speaker_review
ethio-0594,Useful Phrases,I need booking,ቦታ ማስያዝ ያስፈልገኛል,bota masiyaz yasfelgeñal,qabachuu na barbaachisa,qabachuu na barbaachisa,"explaining that booking is needed; booking rooms, tours, or services","Use 'I need booking' in explaining that booking is needed; booking rooms, tours, or services.",beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|need,batch_2_ai_generated_needs_native_speaker_review
ethio-0595,Useful Phrases,where is the booking,ቦታ ማስያዝ የት ነው,bota masiyaz yet new,qabachuu eessa jira,qabachuu eessa jira,"asking location of booking; booking rooms, tours, or services","Use 'where is the booking' in asking location of booking; booking rooms, tours, or services.",beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|location,batch_2_ai_generated_needs_native_speaker_review
ethio-0596,Useful Phrases,how much is the booking,ቦታ ማስያዝ ስንት ነው,bota masiyaz sint new,qabachuu meeqa,qabachuu meeqa,"asking price or cost of booking; booking rooms, tours, or services","Use 'how much is the booking' in asking price or cost of booking; booking rooms, tours, or services.",beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|market,batch_2_ai_generated_needs_native_speaker_review
ethio-0597,Useful Phrases,please give me booking,ቦታ ማስያዝ እባክዎ ይስጡኝ,bota masiyaz ibakwo yistugn,qabachuu maaloo naaf kenni,qabachuu maaloo naaf kenni,"polite request for booking; booking rooms, tours, or services","Use 'please give me booking' in polite request for booking; booking rooms, tours, or services.",beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|polite,batch_2_ai_generated_needs_native_speaker_review
ethio-0598,Useful Phrases,the booking is not working,ቦታ ማስያዝ አይሰራም,bota masiyaz ayiseram,qabachuu hin hojjetu,qabachuu hin hojjetu,"reporting a problem with booking; booking rooms, tours, or services","Use 'the booking is not working' in reporting a problem with booking; booking rooms, tours, or services.",beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|problem,batch_2_ai_generated_needs_native_speaker_review
ethio-0599,Useful Phrases,I want luggage,ሻንጣ እፈልጋለሁ,shanta ifeligalehu,miʼa imalaa nan barbaada,mia imalaa nan barbaada,"requesting luggage; airport, taxi, hotel, and travel situations","Use 'I want luggage' in requesting luggage; airport, taxi, hotel, and travel situations.",beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|request,batch_2_ai_generated_needs_native_speaker_review
ethio-0600,Useful Phrases,I need luggage,ሻንጣ ያስፈልገኛል,shanta yasfelgeñal,miʼa imalaa na barbaachisa,mia imalaa na barbaachisa,"explaining that luggage is needed; airport, taxi, hotel, and travel situations","Use 'I need luggage' in explaining that luggage is needed; airport, taxi, hotel, and travel situations.",beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|need,batch_2_ai_generated_needs_native_speaker_review
ethio-0601,Useful Phrases,where is the luggage,ሻንጣ የት ነው,shanta yet new,miʼa imalaa eessa jira,mia imalaa eessa jira,"asking location of luggage; airport, taxi, hotel, and travel situations","Use 'where is the luggage' in asking location of luggage; airport, taxi, hotel, and travel situations.",beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|location,batch_2_ai_generated_needs_native_speaker_review
ethio-0602,Useful Phrases,how much is the luggage,ሻንጣ ስንት ነው,shanta sint new,miʼa imalaa meeqa,mia imalaa meeqa,"asking price or cost of luggage; airport, taxi, hotel, and travel situations","Use 'how much is the luggage' in asking price or cost of luggage; airport, taxi, hotel, and travel situations.",beginner,useful-phrases|beginner|ethio-lang-batch-2|phrase|market,batch_2_ai_generated_needs_native_speaker_review
